epoch,phase,numSteps,numGames,averageReward,minReward,maxReward,averageLoss,lastEpsilon,epochTime
14,train,250000,3850,-0.17896103896103868,-1,7,0.0061876148799,0.1,2115.406947999996
14,test,125000,438,3.470319634703195,2,8,0.0,0.05,378.36537800000224
15,train,250000,3563,-0.05781644681448224,-1,6,0.00689860133061,0.1,2117.9502920000014
15,test,125000,370,5.424324324324331,2,11,0.0,0.05,379.4301809999961
16,train,250000,3794,-0.13600421718502945,-1,6,0.00816510551096,0.1,2116.1271730000008
16,test,125000,320,5.703125000000002,1,13,0.0,0.05,376.89375599999767
17,train,250000,3880,-0.12731958762886633,-1,6,0.00881246344193,0.1,2124.026362000004
17,test,125000,280,6.83571428571429,0,20,0.0,0.05,375.58241299999645
18,train,250000,3708,-0.005663430420712053,-1,9,0.0102764913856,0.1,2119.193406999999
18,test,125000,306,5.826797385620917,1,16,0.0,0.05,376.2482669999954
19,train,250000,3706,-0.008904479222881814,-1,5,0.00856189052081,0.1,2121.775717000004
19,test,125000,390,3.517948717948717,0,12,0.0,0.05,377.79456099999516
20,train,250000,3752,-0.034115138592750484,-1,8,0.0116241118004,0.1,2118.5582649999997
20,test,125000,282,6.3794326241134724,1,19,0.0,0.05,376.3659219999972
21,train,250000,3904,-0.08273565573770515,-1,6,0.0122877597567,0.1,2116.283712999997
21,test,125000,328,4.3414634146341395,1,12,0.0,0.05,375.8396930000017
22,train,250000,3856,-0.09569502074688814,-1,6,0.00974947161385,0.1,2117.716364
22,test,125000,287,6.616724738675958,2,14,0.0,0.05,377.56431099999463
23,train,250000,3754,0.030633990410229142,-1,7,0.00988837462755,0.1,2114.8368839999966
23,test,125000,338,5.319526627218937,2,8,0.0,0.05,376.73265200000606
24,train,250000,3964,-0.03733602421796167,-1,6,0.0134148445245,0.1,2119.5421850000057
24,test,125000,238,8.252100840336137,1,13,0.0,0.05,375.31060500000603
25,train,250000,4115,-0.03572296476306204,-1,6,0.0127932061238,0.1,2125.8926490000013
25,test,125000,437,4.233409610983979,2,13,0.0,0.05,378.0821289999949
26,train,250000,4145,-0.05910735826296716,-1,6,0.0120816695167,0.1,2121.523021000001
26,test,125000,306,5.820261437908496,2,15,0.0,0.05,375.6620649999968
27,train,250000,3647,0.15108308198519307,-1,11,0.0131602592046,0.1,2116.9169810000094
27,test,125000,312,7.24358974358974,1,17,0.0,0.05,374.4021070000017
28,train,250000,3525,0.2581560283687949,-1,11,0.0119470405401,0.1,2113.456202000001
28,test,125000,313,7.514376996805113,2,21,0.0,0.05,377.07537600000796
29,train,250000,3325,0.40090225563909754,-1,11,0.0120932908713,0.1,2118.8236679999973
29,test,125000,295,8.220338983050839,2,17,0.0,0.05,375.4477530000004
30,train,250000,2820,0.8507092198581571,-1,13,0.0141145961589,0.1,2107.4751629999955
30,test,125000,259,10.138996138996141,3,23,0.0,0.05,376.30721800000174
31,train,250000,2455,1.293279022403259,-1,13,0.0130003002773,0.1,2107.9702460000117
31,test,125000,206,14.766990291262138,3,37,0.0,0.05,355.09433900000295
32,train,250000,2283,1.6106000876040276,-1,14,0.0144486710636,0.1,2009.3652109999966
32,test,125000,206,15.072815533980581,5,31,0.0,0.05,353.62651500001084
33,train,250000,2034,2.170108161258602,-1,23,0.0145655932088,0.1,2006.0729040000006
33,test,125000,192,16.88541666666665,7,35,0.0,0.05,353.97693200000504
34,train,250000,1963,2.4197656647987786,-1,17,0.011542718623,0.1,2004.6730570000072
34,test,125000,173,20.450867052023124,9,35,0.0,0.05,352.76786300000094
35,train,250000,1812,2.9144591611478954,-1,27,0.0138091055902,0.1,2017.1761719999922
35,test,125000,160,22.800000000000008,7,51,0.0,0.05,352.19387400000414
36,train,250000,1620,3.554938271604937,-1,34,0.0142159606354,0.1,1999.6960850000032
36,test,125000,141,28.758865248226957,12,81,0.0,0.05,352.2374589999963
37,train,250000,1567,3.8270580727504804,-1,37,0.0172062498622,0.1,1961.4981439999974
37,test,125000,129,33.217054263565885,10,72,0.0,0.05,322.9811289999925
38,train,250000,1482,4.296896086369767,-1,36,0.0183845108934,0.1,1882.5625270000019
38,test,125000,129,32.89147286821708,7,67,0.0,0.05,324.9182989999972
